{'Ensemble': 0.4990412201449854, 'Selective Ensemble': 0.4989279757429127, 'Self-(in)consistency': 0.41160445763447495, 'Binomial NLL': 0.19821122831766694, 'dataset': 'Bank'}
{'Ensemble': 0.5188690776242838, 'Selective Ensemble': 0.5017571215356248, 'Self-(in)consistency': 0.4374991569709837, 'Binomial NLL': 0.2057204310780421, 'dataset': 'Bank'}
{'Ensemble': 0.5187829535331339, 'Selective Ensemble': 0.518370788994133, 'Self-(in)consistency': 0.433703435910577, 'Binomial NLL': 0.20323995487378388, 'dataset': 'Bank'}
{'Ensemble': 1.7613028178608114, 'Selective Ensemble': 1.7280200945606898, 'Self-(in)consistency': 1.478306321933584, 'Binomial NLL': 0.5974482932947637, 'dataset': 'COMPAS'}
{'Ensemble': 1.7098676351454136, 'Selective Ensemble': 1.6897629016001805, 'Self-(in)consistency': 1.4554765762648656, 'Binomial NLL': 0.5811603716310458, 'dataset': 'COMPAS'}
{'Ensemble': 1.8832979041814535, 'Selective Ensemble': 1.8418233154417185, 'Self-(in)consistency': 1.550755491340919, 'Binomial NLL': 0.6054363923458265, 'dataset': 'COMPAS'}
{'Ensemble': 1.6969629046234538, 'Selective Ensemble': 1.6916701027799708, 'Self-(in)consistency': 1.437996892010878, 'Binomial NLL': 0.58365679120817, 'dataset': 'COMPAS'}
{'Ensemble': 1.8366198191357734, 'Selective Ensemble': 1.8801712413529061, 'Self-(in)consistency': 1.5916402938503114, 'Binomial NLL': 0.6053554456457616, 'dataset': 'COMPAS'}
{'Ensemble': 1.8407432714298313, 'Selective Ensemble': 1.7179549354288373, 'Self-(in)consistency': 1.504635250299541, 'Binomial NLL': 0.6003718747058506, 'dataset': 'COMPAS'}
{'Ensemble': 1.7670640324960716, 'Selective Ensemble': 1.7718759447487429, 'Self-(in)consistency': 1.5229759091773503, 'Binomial NLL': 0.5937922162877779, 'dataset': 'COMPAS'}
{'Ensemble': 1.7150870980115644, 'Selective Ensemble': 1.697302479236627, 'Self-(in)consistency': 1.4963636364278892, 'Binomial NLL': 0.5967093797391537, 'dataset': 'COMPAS'}
{'Ensemble': 1.8052995793335178, 'Selective Ensemble': 1.8505655430477945, 'Self-(in)consistency': 1.620276604444729, 'Binomial NLL': 0.6015073089366794, 'dataset': 'COMPAS'}
{'Ensemble': 1.7638418513906415, 'Selective Ensemble': 1.7856499568747037, 'Self-(in)consistency': 1.4576511214028687, 'Binomial NLL': 0.5995668904279242, 'dataset': 'COMPAS'}
{'Ensemble': 0.8747988463629736, 'Selective Ensemble': 1.0561121738267067, 'Self-(in)consistency': 0.8645420682793798, 'Binomial NLL': 0.5077509719505906, 'dataset': 'German'}
{'Ensemble': 0.9197553223068826, 'Selective Ensemble': 0.7664707193718081, 'Self-(in)consistency': 0.6339520130405599, 'Binomial NLL': 0.48577549539506437, 'dataset': 'German'}
{'Ensemble': 1.0827726697188336, 'Selective Ensemble': 1.198311513244922, 'Self-(in)consistency': 0.8626907403071472, 'Binomial NLL': 0.5291541935969144, 'dataset': 'German'}
{'Ensemble': 1.1308539150864818, 'Selective Ensemble': 1.16654768099478, 'Self-(in)consistency': 0.8907342134168788, 'Binomial NLL': 0.5671568865980953, 'dataset': 'German'}
{'Ensemble': 0.8796454293827992, 'Selective Ensemble': 1.0437445933993132, 'Self-(in)consistency': 0.7759159472108906, 'Binomial NLL': 0.47740083130076527, 'dataset': 'German'}
{'Ensemble': 0.9957682549208403, 'Selective Ensemble': 1.0091608034691233, 'Self-(in)consistency': 0.7565585052307209, 'Binomial NLL': 0.5345784057863057, 'dataset': 'German'}
{'Ensemble': 1.2658925689331955, 'Selective Ensemble': 1.3932920444341783, 'Self-(in)consistency': 1.1214915584355694, 'Binomial NLL': 0.5895621959771961, 'dataset': 'German'}
{'Ensemble': 1.100409352236311, 'Selective Ensemble': 1.1519771279523598, 'Self-(in)consistency': 0.9647049858716065, 'Binomial NLL': 0.5007854194752872, 'dataset': 'German'}
{'Ensemble': 1.0658653707103805, 'Selective Ensemble': 1.2795978846033633, 'Self-(in)consistency': 0.9946315072537444, 'Binomial NLL': 0.5255256270617247, 'dataset': 'German'}
{'Ensemble': 0.8827570753300097, 'Selective Ensemble': 0.8964962232960638, 'Self-(in)consistency': 0.7238246272282438, 'Binomial NLL': 0.5143691545445472, 'dataset': 'German'}
